applicationIdentifier	regex	formatString	description	label	note	fnc1Required
00	^00(\d{18})$	N2+N18	Serial Shipping Container Code (SSCC)	SSCC		FALSE
01	^01(\d{14})$	N2+N14	Global Trade Item Number (GTIN)	GTIN		FALSE
02	^02(\d{14})$	N2+N14	Global Trade Item Number (GTIN) of contained trade items	CONTENT		FALSE
10	"^10([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N2+X..20	Batch or lot number	BATCH/LOT		TRUE
11	^11(\d{6})$	N2+N6	Production date (YYMMDD)	PROD DATE		FALSE
12	^12(\d{6})$	N2+N6	Due date (YYMMDD)	DUE DATE		FALSE
13	^13(\d{6})$	N2+N6	Packaging date (YYMMDD)	PACK DATE		FALSE
15	^15(\d{6})$	N2+N6	Best before date (YYMMDD)	BEST BEFORE or BEST BY		FALSE
16	^16(\d{6})$	N2+N6	Sell by date (YYMMDD)	SELL BY		FALSE
17	^17(\d{6})$	N2+N6	Expiration date (YYMMDD)	USE BY OR EXPIRY		FALSE
20	^20(\d{2})$	N2+N2	Internal product variant	VARIANT		FALSE
21	"^21([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N2+X..20	Serial number	SERIAL		TRUE
22	"^22([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N2+X..20	Consumer product variant	CPV		TRUE
235	"^235([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,28})$"	N3+X..28	"Third Party Controlled, Serialised Extension of Global Trade Item Number (GTIN) (TPX)"	TPX		TRUE
240	"^240([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Additional product identification assigned by the manufacturer	ADDITIONAL ID		TRUE
241	"^241([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Customer part number	CUST. PART No.		TRUE
242	"^242(\d{0,6})$"	N3+N..6	Made-to-Order variation number	MTO VARIANT		TRUE
243	"^243([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	Packaging component number	PCN		TRUE
250	"^250([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Secondary serial number	SECONDARY SERIAL		TRUE
251	"^251([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,30})$"	N3+X..30	Reference to source entity	REF. TO SOURCE		TRUE
253	"^253(\d{13})([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,17})$"	N3+N13[+X..17]	Global Document Type Identifier (GDTI)	GDTI		TRUE
254	"^254([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$"	N3+X..20	Global Location Number (GLN) extension component	GLN EXTENSION COMPONENT		TRUE
255	"^255(\d{13})(\d{0,12})$"	N3+N13[+N..12]	Global Coupon Number (GCN)	GCN		TRUE
30	"^30(\d{0,8})$"	N2+N..8	Variable count of items (variable measure trade item)	VAR. COUNT		TRUE
